id,name,expansion,color_identity,weight_hb_99,weight_hb_cmd,weight_sb_99,weight_sb_cmd
6873,Crash of Rhinos,MIR,G,0,0,0,0
6993,Forest,MIR,G,0,0,0,0
7065,Island,MIR,U,0,0,0,0
7153,Mountain,MIR,R,0,0,0,0
7193,Plains,MIR,W,0,0,0,0
7347,Swamp,MIR,B,0,0,0,0
9135,Mind Stone,WTH,,36,36,36,36
11809,Swamp,USG,B,0,0,0,0
11815,Mountain,USG,R,0,0,0,0
11863,Plains,USG,W,0,0,0,0
12053,Island,USG,U,0,0,0,0
12089,Worn Powerstone,USG,,9,9,9,9
12429,Forest,USG,G,0,0,0,0
13491,Ancestral Mask,MMQ,G,9,9,9,9
14717,Captain Sisay,INV,WG,18,1080,18,720
15281,Stratadon,PLS,,0,0,0,0
16334,Putrid Warrior,APC,WB,9,9,9,9
16555,Terravore,ODY,G,18,18,18,18
16569,Roar of the Wurm,ODY,G,18,18,18,18
17027,Shelter,ODY,W,18,18,18,18
17205,Chainer's Edict,TOR,B,27,27,27,27
17618,Mirari's Wake,JUD,WG,27,27,27,27
18187,Enchantress's Presence,ONS,G,36,36,36,36
18235,Secluded Steppe,ONS,W,0,0,0,0
18237,Lonely Sandbar,ONS,U,0,0,0,0
18239,Barren Moor,ONS,B,0,0,0,0
18243,Tranquil Thicket,ONS,G,0,0,0,0
18267,Forgotten Cave,ONS,R,0,0,0,0
18321,Krosan Tusker,ONS,G,9,9,9,9
18509,Gempalm Polluter,LGN,B,18,18,18,18
18511,Gempalm Incinerator,LGN,R,45,18,45,18
18674,Bladewing the Risen,SCG,BR,18,9,18,9
18736,Dragon Tyrant,SCG,R,0,0,0,0
18854,Decree of Justice,SCG,W,0,0,0,0
18892,Dragonstorm,SCG,R,45,45,45,45
18902,Stifle,SCG,U,45,45,45,45
19577,Phyrexian Arena,8ED,B,36,36,36,36
19689,Leonin Skyhunter,MRD,W,0,0,0,0
19829,Bonesplitter,MRD,,27,27,27,27
19893,Mass Hysteria,MRD,R,9,9,9,9
19995,Chalice of the Void,MRD,,36,36,36,36
20319,Furnace Dragon,DST,R,0,0,0,0
20367,Echoing Decay,DST,B,9,9,9,9
20417,Chromescale Drake,DST,U,0,0,0,0
20493,Darksteel Reactor,DST,,9,9,9,9
20535,Sword of Fire and Ice,DST,,18,18,18,18
20760,Hoverguard Sweepers,5DN,U,0,0,0,0
20886,Bringer of the Green Dawn,5DN,WUBRG,0,0,0,0
20888,Bringer of the Red Dawn,5DN,WUBRG,0,0,0,0
20890,Bringer of the Blue Dawn,5DN,WUBRG,0,0,0,0
20892,Bringer of the Black Dawn,5DN,WUBRG,0,0,0,0
20894,Bringer of the White Dawn,5DN,WUBRG,0,0,0,0
21287,Night of Souls' Betrayal,CHK,B,9,9,9,9
21339,Honden of Night's Reach,CHK,B,9,9,9,9
21343,Honden of Infinite Rage,CHK,R,9,9,9,9
21375,Honden of Cleansing Fire,CHK,W,9,9,9,9
21381,Honden of Seeing Winds,CHK,U,18,18,18,18
21387,Honden of Life's Web,CHK,G,9,9,9,9
22224,One with Nothing,SOK,B,0,0,0,0
22226,Hidetsugu's Second Rite,SOK,R,27,27,27,27
22911,Scaled Wurm,9ED,G,0,0,0,0
23012,Glimpse the Unthinkable,RAV,UB,18,18,18,18
23600,Blazing Archon,RAV,W,0,0,0,0
24113,Spell Snare,DIS,U,18,18,18,18
24207,Tidespout Tyrant,DIS,U,0,0,0,0
24255,Ghost Quarter,DIS,,27,27,27,27
24529,Coldsteel Heart,CSP,,18,18,18,18
24649,Into the North,CSP,G,36,36,36,36
25533,Momentary Blink,TSP,WU,9,9,9,9
27212,Colossus of Sardia,10E,,0,0,0,0
28215,Lys Alana Huntmaster,LRW,G,9,9,9,9
28373,Imperious Perfect,LRW,G,45,36,45,36
28393,Merrow Reejerey,LRW,U,45,27,45,27
29172,Distant Melody,MOR,U,18,18,18,18
29196,Kinsbaile Cavalier,MOR,W,27,27,27,27
29535,Rhys the Redeemed,SHM,WG,18,9,18,18
29621,Ghastlord of Fugue,SHM,UB,0,0,0,0
30772,Fire Dragon,ME2,R,0,0,0,0
30778,Wolf Pack,ME2,G,0,0,0,0
30893,Ranger of Eos,ALA,W,36,36,36,36
30895,Relic of Progenitus,ALA,,18,18,18,18
31061,Wild Nacatl,ALA,G,27,18,27,18
32276,Meddling Mage,ARB,WU,36,36,36,36
32388,Maelstrom Pulse,ARB,BG,36,36,36,36
32426,Enlisted Wurm,ARB,WG,9,9,9,9
32601,Tendrils of Corruption,M10,B,27,27,27,27
32675,Soul Warden,M10,W,18,18,18,18
32925,Merfolk Looter,M10,U,9,9,9,9
32951,Ornithopter,M10,,36,9,36,9
33035,Platinum Angel,M10,,9,9,9,9
33069,Hypnotic Specter,M10,B,27,27,27,27
34470,Goblin Ruinblaster,ZEN,R,18,18,18,18
35515,Bojuka Bog,WWK,B,9,9,9,9
35569,Dragonmaster Outcast,WWK,R,18,18,18,18
35573,Death's Shadow,WWK,B,27,27,27,27
35611,Treasure Hunt,WWK,U,9,18,9,18
36668,Kiln Fiend,ROE,R,27,18,27,18
36740,Gigantomancer,ROE,G,0,0,0,0
36786,Plains,ROE,W,0,0,0,0
36788,Mountain,ROE,R,0,0,0,0
36802,Forest,ROE,G,0,0,0,0
36812,Swamp,ROE,B,0,0,0,0
36818,Island,ROE,U,0,0,0,0
37338,Serra Ascendant,M11,W,18,18,18,18
37354,Frost Titan,M11,U,9,9,9,9
37374,Grave Titan,M11,B,9,9,9,9
37400,Primeval Titan,M11,G,18,18,18,18
37406,Sun Titan,M11,W,9,9,9,9
37428,Inferno Titan,M11,R,9,9,9,9
37456,Fauna Shaman,M11,G,18,18,18,18
37486,Demon of Death's Gate,M11,B,0,0,0,0
38043,Kuldotha Rebirth,SOM,R,9,9,9,9
38091,Inexorable Tide,SOM,U,9,9,9,9
38095,Goblin Gaveleer,SOM,R,27,9,27,9
38103,Tempered Steel,SOM,W,45,45,45,45
38137,Ratchet Bomb,SOM,,18,18,18,18
38279,Sword of Body and Mind,SOM,,36,36,36,36
38365,Molten Psyche,SOM,R,9,9,9,9
38970,Thing from the Deep,ME4,U,0,0,0,0
39321,Mortarpod,MBS,,9,9,9,9
39339,Ichor Wellspring,MBS,,18,18,18,18
39591,Leonin Relic-Warder,MBS,W,18,18,18,18
39734,Phyrexian Metamorph,NPH,U,27,27,27,27
39738,Urabrask the Hidden,NPH,R,18,9,18,9
39754,Phyrexian Obliterator,NPH,B,27,27,27,27
39770,Vault Skirge,NPH,B,45,36,45,36
40555,Dread Cacodemon,CMD,B,0,0,0,0
40622,Magmatic Force,CMD,R,0,0,0,0
41185,Acidic Slime,M12,G,9,9,9,9
41355,Timely Reinforcements,M12,W,18,18,18,18
42284,Silent Departure,ISD,U,9,18,9,18
42294,Ghost Quarter,ISD,,27,27,27,27
42396,Spider Spawning,ISD,BG,9,9,9,9
42482,Unburial Rites,ISD,WB,45,45,45,45
42534,Think Twice,ISD,U,9,9,9,9
42618,Ancient Grudge,ISD,RG,18,18,18,18
42684,Intangible Virtue,ISD,W,36,36,36,36
42770,Gnaw to the Bone,ISD,G,15,15,15,15
42818,Devil's Play,ISD,R,18,18,18,18
43257,Ray of Revelation,DKA,WG,18,18,18,18
43331,Stromkirk Captain,DKA,BR,9,6,9,6
43459,Burden of Guilt,DKA,W,9,9,9,9
44125,Griselbrand,AVR,B,45,1080,45,960
46669,"Avacyn, Angel of Hope",AVR,W,9,360,9,9
46765,"Kuro, Pitlord",CHK,B,0,0,0,0
46873,Court Homunculus,CONF,W,18,18,18,18
46897,Sigil of the Empty Throne,CONF,W,27,27,27,27
47087,Knight of the Reliquary,CONF,WG,45,45,45,45
47143,Ancient Ziggurat,CONF,,0,0,0,0
47485,"Thalia, Guardian of Thraben",DKA,W,45,360,45,240
48499,"Hanna, Ship's Navigator",INV,WU,9,9,9,9
49077,"Talrand, Sky Summoner",M13,U,27,1080,27,9
49333,Akroma's Memorial,M13,,18,18,18,18
50871,"Elesh Norn, Grand Cenobite",NPH,W,45,360,45,240
50873,"Jin-Gitaxias, Core Augur",NPH,U,9,-360,9,-360
50875,"Sheoldred, Whispering One",NPH,B,45,9,45,45
