id,name,expansion,weight
67518,"Teferi, Hero of Dominaria",DOM,1800
68665,"Tajic, Legion's Edge",GRN,1800
69451,"Teferi, Hero of Dominaria",DOM,1800
69620,"Nissa, Who Shakes the World",WAR,1800
70294,"Torbran, Thane of Red Fell",ELD,1800
71259,"Kinnan, Bonder Prodigy",IKO,1800
75185,"Magda, Brazen Outlaw",KHM,1800
75215,"Fynn, the Fangbearer",KHM,1800
75620,"Baral, Chief of Compliance",KLR,1800
76172,"Sythis, Harvest's Hand",MH2,1800
78322,"Adeline, Resplendent Cathar",MID,1800
78612,"Teferi, Who Slows the Sunset",MID,1800
79445,"Light-Paws, Emperor's Voice",NEO,1800
80364,"Raffine, Scheming Seer",SNC,1800
84191,"Rusko, Clockmaker",Y23,1800
85082,"Calix, Guided by Fate",MAT,1800
85526,"Baral, Chief of Compliance",MUL,1800
85539,"Ragavan, Nimble Pilferer",MUL,1800
85544,"Fynn, the Fangbearer",MUL,1800
86435,Geist of Saint Traft,SIS,1800
69656,"Nicol Bolas, Dragon-God",WAR,1440
69657,Niv-Mizzet Reborn,WAR,1440
69670,"Teferi, Time Raveler",WAR,1440
69683,"Kiora, Behemoth Beckoner",WAR,1440
70011,"Golos, Tireless Pilgrim",M20,1440
70190,"Emry, Lurker of the Loch",ELD,1440
70719,"Ashiok, Nightmare Muse",THB,1440
70740,"Uro, Titan of Nature's Wrath",THB,1440
71248,"Chevill, Bane of Monsters",IKO,1440
71283,"Winota, Joiner of Forces",IKO,1440
72491,"Selvala, Heart of the Wilds",JMP,1440
75212,"Esika, God of the Tree",KHM,1440
75265,Kaya the Inexorable,KHM,1440
76597,Galazeth Prismari,STX,1440
77133,Oswald Fiddlebender,AFR,1440
78852,"Jacob Hauken, Inspector",VOW,1440
79665,Kaito Shizuki,NEO,1440
81199,"A-Teferi, Time Raveler",WAR,1440
81286,"Tasha, Unholy Archmage",HBG,1440
82149,Liliana of the Veil,DMU,1440
82159,"Sheoldred, the Apocalypse",DMU,1440
82251,Ertai Resurrected,DMU,1440
83474,"A-Winota, Joiner of Forces",IKO,1440
83896,"Atraxa, Grand Unifier",ONE,1440
85527,"Emry, Lurker of the Loch",MUL,1440
85571,Niv-Mizzet Reborn,MUL,1440
87204,"Malcolm, Alluring Scoundrel",LCI,1440
14717,Captain Sisay,INV,1080
44125,Griselbrand,AVR,1080
49077,"Talrand, Sky Summoner",M13,1080
69313,"Judith, the Scourge Diva",RNA,1080
69323,Prime Speaker Vannifar,RNA,1080
69588,"Krenko, Tin Street Kingpin",WAR,1080
71192,"Lukka, Coppercoat Outcast",IKO,1080
71262,Narset of the Ancient Way,IKO,1080
71457,"Yawgmoth, Thran Physician",MH1,1080
72127,"Muxus, Goblin Grandee",JMP,1080
72243,"Talrand, Sky Summoner",JMP,1080
72401,"Krenko, Mob Boss",JMP,1080
73995,Rhonas the Indomitable,AKR,1080
75152,"Tergrid, God of Fright",KHM,1080
79061,"Halana and Alena, Partners",VOW,1080
79295,Marrow-Gnawer,J21,1080
82248,"Balmor, Battlemage Captain",DMU,1080
82255,"Jodah, the Unifier",DMU,1080
82619,"Feldon, Ronom Excavator",BRO,1080
83904,"Kaito, Dancing Shadow",ONE,1080
85563,"Judith, the Scourge Diva",MUL,1080
86164,"Liliana, the Last Hope",SIR,1080
86644,Griselbrand,SIS,1080
91389,"Tajic, Legion's Valor",Y24,1080
66877,"Ghalta, Primal Hunger",RIX,720
66921,"Angrath, the Flame-Chained",RIX,720
66975,"Zacama, Primal Calamity",RIX,720
67484,"Adeliz, the Cinder Wind",DOM,720
68653,"Niv-Mizzet, Parun",GRN,720
69641,"Domri, Anarch of Bolas",WAR,720
69669,"Tamiyo, Collector of Tales",WAR,720
70140,"Ghalta, Primal Hunger",RIX,720
70324,"Syr Faren, the Hengehammer",ELD,720
70332,"Yorvo, Lord of Garenbrig",ELD,720
70338,"Garruk, Cursed Huntsman",ELD,720
70529,"Heliod, Sun-Crowned",THB,720
70587,"Thryx, the Sudden Storm",THB,720
70728,Gallia of the Endless Dance,THB,720
70735,"Polukranos, Unchained",THB,720
71229,"Kogla, the Titan Ape",IKO,720
71257,"Illuna, Apex of Wishes",IKO,720
71955,"Azusa, Lost but Seeking",M21,720
72115,"Inniaz, the Gale Force",JMP,720
72461,"Ghalta, Primal Hunger",JMP,720
75268,"Koma, Cosmos Serpent",KHM,720
76558,"Rowan, Scholar of Sparks",STX,720
76605,"Killian, Ink Duelist",STX,720
77165,"Grazilaxx, Illithid Scholar",AFR,720
78452,"Jadar, Ghoulcaller of Nephalia",MID,720
78616,"Vadrik, Astral Archmage",MID,720
79384,"Freyalise, Skyshroud Partisan",J21,720
